FECHA|ANALIZADOR|LOTE|CODIGO_PRUEBA|NOMBRE_PRUEBA|EVENTO
18/05/23 08:47:00                                                          |HOV 25 - DXI800 num 1                   |85321                                             |CLC11977  |Cortisol                                                                                                                                                                                                |CAL
18/05/23 08:47:00                                                          |HOV 25 - DXI800 num 1                   |85322                                             |CLC11977  |Cortisol                                                                                                                                                                                                |CAL
18/05/23 08:47:00                                                          |HOV 25 - DXI800 num 1                   |85323                                             |CLC11977  |Cortisol                                                                                                                                                                                                |CAL
18/05/23 08:48:01                                                          |HOV 25 - DXI800 num 1                   |85321                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
18/05/23 08:48:01                                                          |HOV 25 - DXI800 num 1                   |85322                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
18/05/23 08:48:01                                                          |HOV 25 - DXI800 num 1                   |85323                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
18/05/23 11:01:00                                                          |HOV 26 - DXI800 num 3                   |85321                                             |CLC11797  |Folitropina #FSH                                                                                                                                                                                        |CAL
18/05/23 11:01:00                                                          |HOV 26 - DXI800 num 3                   |85322                                             |CLC11797  |Folitropina #FSH                                                                                                                                                                                        |CAL
18/05/23 11:01:00                                                          |HOV 26 - DXI800 num 3                   |85323                                             |CLC11797  |Folitropina #FSH                                                                                                                                                                                        |CAL
19/05/23 08:45:00                                                          |HOV 26 - DXI800 num 3                   |85321                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
19/05/23 08:45:00                                                          |HOV 26 - DXI800 num 3                   |85322                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
19/05/23 08:45:00                                                          |HOV 26 - DXI800 num 3                   |85323                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
19/05/23 09:20:01                                                          |HOV 26 - DXI800 num 3                   |94931                                             |CLC00816  |CA 15.3                                                                                                                                                                                                 |CAL
19/05/23 09:20:01                                                          |HOV 26 - DXI800 num 3                   |94932                                             |CLC00816  |CA 15.3                                                                                                                                                                                                 |CAL
19/05/23 09:20:01                                                          |HOV 26 - DXI800 num 3                   |94993                                             |CLC00816  |CA 15.3                                                                                                                                                                                                 |CAL
19/05/23 09:25:00                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |85321                                             |CLC00820  |PSA                                                                                                                                                                                                     |CAL
19/05/23 09:25:00                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |85322                                             |CLC00820  |PSA                                                                                                                                                                                                     |CAL
19/05/23 09:25:00                                                          |HOV 27 - DXI800 num 2 (externo cadena)  |85323                                             |CLC00820  |PSA                                                                                                                                                                                                     |CAL
18/05/23 08:49:00                                                          |HOV 25 - DXI800 num 1                   |85321                                             |CLC11854  |Testosterona                                                                                                                                                                                            |CAL
18/05/23 08:49:00                                                          |HOV 25 - DXI800 num 1                   |85322                                             |CLC11854  |Testosterona                                                                                                                                                                                            |CAL
18/05/23 08:49:00                                                          |HOV 25 - DXI800 num 1                   |85323                                             |CLC11854  |Testosterona                                                                                                                                                                                            |CAL
18/05/23 09:45:00                                                          |HOV 25 - DXI800 num 1                   |64943                                             |CLC00061  |Ac anti peroxidasa tiroidea #TPO                                                                                                                                                                        |CAL
18/05/23 09:45:00                                                          |HOV 25 - DXI800 num 1                   |64940                                             |CLC00061  |Ac anti peroxidasa tiroidea #TPO                                                                                                                                                                        |CAL
18/05/23 09:45:00                                                          |HOV 25 - DXI800 num 1                   |64942                                             |CLC00061  |Ac anti peroxidasa tiroidea #TPO                                                                                                                                                                        |CAL
