FECHA|ANALIZADOR|LOTE|CODIGO_PRUEBA|NOMBRE_PRUEBA|EVENTO
17/05/23 09:11:01                                                          |HOV 26 - DXI800 num 3                   |85321                                             |CLC00820  |PSA                                                                                                                                                                                                     |CAL
17/05/23 09:11:01                                                          |HOV 26 - DXI800 num 3                   |85322                                             |CLC00820  |PSA                                                                                                                                                                                                     |CAL
17/05/23 09:11:01                                                          |HOV 26 - DXI800 num 3                   |85323                                             |CLC00820  |PSA                                                                                                                                                                                                     |CAL
17/05/23 10:14:00                                                          |HOV 25 - DXI800 num 1                   |94931                                             |CLC00815  |CA 125                                                                                                                                                                                                  |CAL
17/05/23 10:14:00                                                          |HOV 25 - DXI800 num 1                   |94932                                             |CLC00815  |CA 125                                                                                                                                                                                                  |CAL
17/05/23 10:14:00                                                          |HOV 25 - DXI800 num 1                   |94993                                             |CLC00815  |CA 125                                                                                                                                                                                                  |CAL
18/05/23 08:47:00                                                          |HOV 25 - DXI800 num 1                   |85321                                             |CLC11977  |Cortisol                                                                                                                                                                                                |CAL
18/05/23 08:47:00                                                          |HOV 25 - DXI800 num 1                   |85322                                             |CLC11977  |Cortisol                                                                                                                                                                                                |CAL
18/05/23 08:47:00                                                          |HOV 25 - DXI800 num 1                   |85323                                             |CLC11977  |Cortisol                                                                                                                                                                                                |CAL
18/05/23 08:48:01                                                          |HOV 25 - DXI800 num 1                   |85321                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
18/05/23 08:48:01                                                          |HOV 25 - DXI800 num 1                   |85322                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
18/05/23 08:48:01                                                          |HOV 25 - DXI800 num 1                   |85323                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
18/05/23 11:01:00                                                          |HOV 26 - DXI800 num 3                   |85321                                             |CLC11797  |Folitropina #FSH                                                                                                                                                                                        |CAL
18/05/23 11:01:00                                                          |HOV 26 - DXI800 num 3                   |85322                                             |CLC11797  |Folitropina #FSH                                                                                                                                                                                        |CAL
18/05/23 11:01:00                                                          |HOV 26 - DXI800 num 3                   |85323                                             |CLC11797  |Folitropina #FSH                                                                                                                                                                                        |CAL
18/05/23 08:49:00                                                          |HOV 25 - DXI800 num 1                   |85321                                             |CLC11854  |Testosterona                                                                                                                                                                                            |CAL
18/05/23 08:49:00                                                          |HOV 25 - DXI800 num 1                   |85322                                             |CLC11854  |Testosterona                                                                                                                                                                                            |CAL
18/05/23 08:49:00                                                          |HOV 25 - DXI800 num 1                   |85323                                             |CLC11854  |Testosterona                                                                                                                                                                                            |CAL
18/05/23 09:45:00                                                          |HOV 25 - DXI800 num 1                   |64943                                             |CLC00061  |Ac anti peroxidasa tiroidea #TPO                                                                                                                                                                        |CAL
18/05/23 09:45:00                                                          |HOV 25 - DXI800 num 1                   |64940                                             |CLC00061  |Ac anti peroxidasa tiroidea #TPO                                                                                                                                                                        |CAL
18/05/23 09:45:00                                                          |HOV 25 - DXI800 num 1                   |64942                                             |CLC00061  |Ac anti peroxidasa tiroidea #TPO                                                                                                                                                                        |CAL
