FECHA|ANALIZADOR|LOTE|CODIGO_PRUEBA|NOMBRE_PRUEBA|EVENTO
06/06/23 09:40:00                                                          |HOV 26 - DXI800 num 3                   |85321                                             |CLC11837  |Estradiol                                                                                                                                                                                               |CAL
06/06/23 09:40:00                                                          |HOV 26 - DXI800 num 3                   |85322                                             |CLC11837  |Estradiol                                                                                                                                                                                               |CAL
06/06/23 09:40:00                                                          |HOV 26 - DXI800 num 3                   |85323                                             |CLC11837  |Estradiol                                                                                                                                                                                               |CAL
05/06/23 09:24:00                                                          |HOV 26 - DXI800 num 3                   |94931                                             |CLC00817  |CA 19.9                                                                                                                                                                                                 |CAL
05/06/23 09:24:00                                                          |HOV 26 - DXI800 num 3                   |94932                                             |CLC00817  |CA 19.9                                                                                                                                                                                                 |CAL
05/06/23 09:24:00                                                          |HOV 26 - DXI800 num 3                   |94993                                             |CLC00817  |CA 19.9                                                                                                                                                                                                 |CAL
05/06/23 10:10:01                                                          |HOV 26 - DXI800 num 3                   |64940                                             |CLC00807  |Vitamina D (25 OH)                                                                                                                                                                                      |CAL
05/06/23 10:10:01                                                          |HOV 26 - DXI800 num 3                   |64942                                             |CLC00807  |Vitamina D (25 OH)                                                                                                                                                                                      |CAL
05/06/23 10:10:01                                                          |HOV 26 - DXI800 num 3                   |64943                                             |CLC00807  |Vitamina D (25 OH)                                                                                                                                                                                      |CAL
06/06/23 09:52:01                                                          |HOV 26 - DXI800 num 3                   |85321                                             |CLC11775  |Prolactina                                                                                                                                                                                              |CAL
06/06/23 09:52:01                                                          |HOV 26 - DXI800 num 3                   |85322                                             |CLC11775  |Prolactina                                                                                                                                                                                              |CAL
06/06/23 09:52:01                                                          |HOV 26 - DXI800 num 3                   |85323                                             |CLC11775  |Prolactina                                                                                                                                                                                              |CAL
06/06/23 09:13:00                                                          |HOV 25 - DXI800 num 1                   |85321                                             |CLC11846  |Progesterona                                                                                                                                                                                            |CAL
06/06/23 09:13:00                                                          |HOV 25 - DXI800 num 1                   |85322                                             |CLC11846  |Progesterona                                                                                                                                                                                            |CAL
06/06/23 09:13:00                                                          |HOV 25 - DXI800 num 1                   |85323                                             |CLC11846  |Progesterona                                                                                                                                                                                            |CAL
06/06/23 10:10:01                                                          |HOV 26 - DXI800 num 3                   |85321                                             |CLC00034  |Tiroxina (libre) #T4L                                                                                                                                                                                   |CAL
06/06/23 10:10:01                                                          |HOV 26 - DXI800 num 3                   |85322                                             |CLC00034  |Tiroxina (libre) #T4L                                                                                                                                                                                   |CAL
06/06/23 10:10:01                                                          |HOV 26 - DXI800 num 3                   |85323                                             |CLC00034  |Tiroxina (libre) #T4L                                                                                                                                                                                   |CAL
06/06/23 09:01:01                                                          |HOV 26 - DXI800 num 3                   |64940                                             |CLC00061  |Ac anti peroxidasa tiroidea #TPO                                                                                                                                                                        |CAL
06/06/23 09:01:01                                                          |HOV 26 - DXI800 num 3                   |64942                                             |CLC00061  |Ac anti peroxidasa tiroidea #TPO                                                                                                                                                                        |CAL
06/06/23 09:01:01                                                          |HOV 26 - DXI800 num 3                   |64943                                             |CLC00061  |Ac anti peroxidasa tiroidea #TPO                                                                                                                                                                        |CAL
06/06/23 09:55:01                                                          |HOV 25 - DXI800 num 1                   |85321                                             |CLC11837  |Estradiol                                                                                                                                                                                               |CAL
06/06/23 09:55:01                                                          |HOV 25 - DXI800 num 1                   |85322                                             |CLC11837  |Estradiol                                                                                                                                                                                               |CAL
06/06/23 09:55:01                                                          |HOV 25 - DXI800 num 1                   |85323                                             |CLC11837  |Estradiol                                                                                                                                                                                               |CAL
05/06/23 09:25:01                                                          |HOV 25 - DXI800 num 1                   |85321                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
05/06/23 09:25:01                                                          |HOV 25 - DXI800 num 1                   |85322                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
05/06/23 09:25:01                                                          |HOV 25 - DXI800 num 1                   |85323                                             |CLC00813  |Alfa-Fetoproteína                                                                                                                                                                                       |CAL
05/06/23 09:33:00                                                          |HOV 25 - DXI800 num 1                   |85321                                             |CLC11007  |Triyodotironina (libre) #T3L                                                                                                                                                                            |CAL
05/06/23 09:33:00                                                          |HOV 25 - DXI800 num 1                   |85322                                             |CLC11007  |Triyodotironina (libre) #T3L                                                                                                                                                                            |CAL
05/06/23 09:33:00                                                          |HOV 25 - DXI800 num 1                   |85323                                             |CLC11007  |Triyodotironina (libre) #T3L                                                                                                                                                                            |CAL
